Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-11-16	83.980003	84.199997	83.169998	83.190002	8542900	83.190002	-	-0.940701323862	
2016-11-15	84.580002	84.580002	82.879997	83.620003	9464000	83.620003	-	-1.13501889016	
2016-11-14	83.559998	83.779999	82.760002	83.00	12862500	83.00	-	-0.670174740789	
2016-11-11	82.669998	84.059998	82.650002	83.580002	8894700	83.580002	+	1.10076693119	
2016-11-10	85.510002	85.699997	82.18	82.959999	22095000	82.959999	-	-2.98211079448	
2016-11-09	85.260002	86.540001	84.309998	85.93	11972500	85.93	+	0.785829209809	
2016-11-08	86.769997	87.690002	86.589996	87.459999	7657000	87.459999	+	0.795208048699	
2016-11-07	86.019997	86.57	85.599998	86.559998	8878500	86.559998	+	0.627762170231	
2016-11-04	86.690002	86.730003	85.07	85.080002	9378100	85.080002	-	-1.85719225154	
2016-11-03	86.800003	86.980003	86.470001	86.599998	6899900	86.599998	-	-0.230420498949	
2016-11-02	86.769997	87.410004	86.559998	86.739998	7773200	86.739998	-	-0.0345730102999	
2016-11-01	86.580002	86.989998	86.480003	86.849998	8564500	86.849998	+	0.311845684642	
2016-10-31	87.010002	87.470001	86.690002	86.800003	8207100	86.800003	-	-0.241350413944	
2016-10-28	86.870003	87.230003	86.449997	86.839996	7021100	86.839996	-	-0.0345424185147	
2016-10-27	87.510002	87.599998	86.449997	86.580002	6598300	86.580002	-	-1.06273566306	
2016-10-26	86.910004	87.739998	86.779999	87.400002	8464100	87.400002	+	0.563799306694	
2016-10-25	87.489998	88.080002	86.970001	86.970001	20761200	86.970001	-	-0.594350225039	
2016-10-24	84.389999	84.699997	84.059998	84.099998	10573200	84.099998	-	-0.34364380073	
2016-10-21	84.410004	84.860001	84.239998	84.330002	13974100	84.330002	-	-0.0947778654293	
2016-10-20	85.379997	85.519997	84.790001	84.93	10175100	84.93	-	-0.52705202133	
2016-10-19	86.650002	86.82	85.440002	85.540001	12788800	85.540001	-	-1.28101670442	
2016-10-18	88.209999	88.269997	87.440002	87.449997	10749500	86.779997	-	-0.861582596776	
2016-10-17	88.43	88.650002	87.709999	87.830002	7610600	87.15709	-	-0.678500508877	
2016-10-14	88.50	88.959999	88.220001	88.43	7369000	87.752492	-	-0.0790960451977	
2016-10-13	88.050003	88.57	87.599998	88.239998	11158100	87.563945	+	0.215780799008	
2016-10-12	88.739998	89.010002	88.330002	88.57	17118000	87.891419	-	-0.191568631769	
2016-10-11	88.830002	89.120003	88.199997	88.540001	11723100	87.86165	-	-0.326467402309	
2016-10-10	90.190002	90.330002	88.779999	89.059998	15492400	88.377662	-	-1.25291492953	
2016-10-07	89.010002	90.050003	88.300003	90.00	20518800	89.310463	+	1.11223230845	
2016-10-06	88.610001	89.730003	88.470001	89.220001	61462800	88.53644	+	0.688409878248	
2016-10-05	88.480003	89.00	88.209999	88.849998	64580300	88.169272	+	0.41816793338	
2016-10-04	88.290001	88.68	87.949997	88.349998	23317600	87.673103	+	0.06795446746	
2016-10-03	89.349998	89.449997	88.410004	88.660004	26789500	87.980733	-	-0.772237286452	
2016-09-30	88.300003	90.220001	88.290001	89.75	123735700	89.062378	+	1.64212565202	
2016-09-29	89.160004	89.269997	87.540001	88.230003	74587500	87.554027	-	-1.04306971543	
2016-09-28	88.980003	89.730003	88.470001	89.459999	89806000	88.774599	+	0.539442553177	
2016-09-27	88.059998	88.809998	87.660004	88.360001	65150800	87.683029	+	0.340680225771	
2016-09-26	87.419998	88.43	86.610001	87.849998	60276600	87.176934	+	0.491878299974	
2016-09-23	88.629997	88.940002	87.489998	87.760002	48281400	87.087627	-	-0.981603327821	
2016-09-22	87.769997	89.300003	87.769997	88.989998	52692700	88.308199	+	1.38999776883	
2016-09-21	88.540001	88.790001	86.440002	87.800003	55409800	87.127321	-	-0.835778169914	
2016-09-20	88.50	88.949997	88.18	88.580002	33986500	87.901344	+	0.090397740113	
2016-09-19	87.919998	88.949997	87.25	88.370003	19173900	87.692954	+	0.511834634027	
2016-09-16	87.620003	88.110001	87.300003	88.050003	23518300	87.375406	+	0.490755518463	
2016-09-15	86.75	88.269997	86.75	88.059998	13833600	87.385324	+	1.51008414986	
2016-09-14	87.120003	87.599998	86.870003	87.010002	25397900	86.343373	-	-0.126263769757	
2016-09-13	87.550003	87.910004	87.010002	87.050003	19682700	86.383068	-	-0.571102207729	
2016-09-12	86.040001	88.379997	85.959999	88.25	16105700	87.573871	+	2.56857156475	
2016-09-09	87.099998	87.169998	86.239998	86.239998	21955000	85.579268	-	-0.987370860789	
2016-09-08	87.949997	88.18	87.629997	87.779999	23465700	87.10747	-	-0.193289375553	
2016-09-07	88.309998	88.410004	87.709999	87.949997	17556400	87.276166	-	-0.407655993832	
