"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"	"+/-"	"% change"
"2016-10-07"	"2016-10-07"	"89.010002"	"90.050003"	"88.300003"	"90.00"	"18352300"	"90.00"	"+"	"1.11223230845"
"2016-10-06"	"2016-10-06"	"88.610001"	"89.730003"	"88.470001"	"89.220001"	"47110300"	"89.220001"	"+"	"0.688409878248"
"2016-10-05"	"2016-10-05"	"88.480003"	"89.00"	"88.209999"	"88.849998"	"64580300"	"88.849998"	"+"	"0.41816793338"
"2016-10-04"	"2016-10-04"	"88.290001"	"88.68"	"87.949997"	"88.349998"	"23317600"	"88.349998"	"+"	"0.06795446746"
"2016-10-03"	"2016-10-03"	"89.349998"	"89.449997"	"88.410004"	"88.660004"	"26789500"	"88.660004"	"-"	"-0.772237286452"
"2016-09-30"	"2016-09-30"	"88.300003"	"90.220001"	"88.290001"	"89.75"	"123735700"	"89.75"	"+"	"1.64212565202"
"2016-09-29"	"2016-09-29"	"89.160004"	"89.269997"	"87.540001"	"88.230003"	"74587500"	"88.230003"	"-"	"-1.04306971543"
"2016-09-28"	"2016-09-28"	"88.980003"	"89.730003"	"88.470001"	"89.459999"	"89806000"	"89.459999"	"+"	"0.539442553177"
"2016-09-27"	"2016-09-27"	"88.059998"	"88.809998"	"87.660004"	"88.360001"	"65150800"	"88.360001"	"+"	"0.340680225771"
"2016-09-26"	"2016-09-26"	"87.419998"	"88.43"	"86.610001"	"87.849998"	"60276600"	"87.849998"	"+"	"0.491878299974"
